Airline,Departure Airport,Arrival Airport,Aircraft Type,Departure Planned Time,Departure Time,Arrival Planned Time,Arrival Time,Distance,Number of Containers,Cargo Weight,Freight Load Factor,Cargo Type,Priority Cargo,Special Handling,Temperature-Controlled Freight,Dangerous Goods,Peak Freight Season,Departure Weather Conditions,Delay
CK,NCL,XMN,B777,11/12/2024 21:19,11/12/2024 22:01,12/12/2024 05:19,12/12/2024 06:01,5028,46,6150,62.51,General Cargo,Yes,Yes,Yes,No,Yes,Clear,Yes
AA,NCL,ORD,B777,03/12/2024 05:55,03/12/2024 05:55,03/12/2024 17:55,03/12/2024 19:55,6268,39,19991,75.41,Perishables,Yes,No,Yes,No,Yes,Clear,Yes
UA,BHX,ORD,B737,27/12/2024 13:14,27/12/2024 13:14,27/12/2024 23:14,28/12/2024 01:14,9053,32,8145,78.02,Electronics,No,No,Yes,No,No,Clear,Yes
EY,NCL,BJS,B777,08/12/2024 18:18,08/12/2024 18:18,09/12/2024 04:18,09/12/2024 06:18,10737,12,15409,67.07,Perishables,Yes,No,No,Yes,No,Fog,Yes
CX,NCL,BKK,A380,28/12/2024 13:05,28/12/2024 13:05,29/12/2024 03:05,29/12/2024 05:05,7249,19,1414,63.23,Pharmaceuticals,No,No,Yes,Yes,Yes,Clear,Yes
EY,LGW,CAI,A380,26/12/2024 11:24,26/12/2024 11:24,26/12/2024 23:24,27/12/2024 01:24,5515,48,13648,84.44,Perishables,Yes,Yes,Yes,Yes,No,Rain,Yes
CK,LHR,CAI,B737,02/12/2024 23:10,02/12/2024 23:10,03/12/2024 13:10,03/12/2024 15:10,10023,27,15305,93.73,Pharmaceuticals,Yes,Yes,No,Yes,No,Fog,Yes
EK,ABZ,ICN,A380,05/12/2024 10:26,05/12/2024 10:26,05/12/2024 23:26,06/12/2024 01:26,7541,37,10785,72.85,Pharmaceuticals,No,No,No,No,No,Snow,Yes
CV,BHX,XMN,A320,15/12/2024 14:32,15/12/2024 16:30,16/12/2024 02:32,16/12/2024 04:30,7948,40,10360,83.48,Pharmaceuticals,Yes,Yes,No,Yes,No,Rain,Yes
QR,BRS,BKK,A320,04/12/2024 18:36,04/12/2024 18:36,05/12/2024 06:36,05/12/2024 08:36,6247,28,19258,81.97,Electronics,No,Yes,Yes,Yes,Yes,Rain,Yes
IB,ABZ,GRU,A380,03/12/2024 21:37,03/12/2024 21:37,04/12/2024 09:37,04/12/2024 11:37,5497,46,,86.68,Electronics,Yes,No,No,No,No,Fog,Yes
SQ,ABZ,IST,A380,04/12/2024 20:20,04/12/2024 20:20,05/12/2024 04:20,05/12/2024 06:20,5050,18,16162,75.92,General Cargo,Yes,No,No,No,Yes,Clear,Yes
AC,NCL,YUL,B737,05/12/2024 06:32,05/12/2024 08:29,05/12/2024 14:32,05/12/2024 16:29,9492,47,16386,83.59,Perishables,Yes,Yes,No,Yes,Yes,Snow,Yes
QR,MAN,CAI,B737,05/12/2024 23:53,05/12/2024 23:53,06/12/2024 11:53,06/12/2024 13:53,9197,31,10332,70.06,Pharmaceuticals,Yes,No,Yes,Yes,No,Clear,Yes
AC,BRS,YYZ,B777,23/12/2024 04:45,23/12/2024 04:45,23/12/2024 12:45,23/12/2024 14:45,10125,14,19655,79.29,Electronics,Yes,Yes,No,No,No,Clear,Yes
CK,LGW,BJS,B737,26/12/2024 21:49,26/12/2024 21:49,27/12/2024 08:49,27/12/2024 10:49,5958,27,8595,66.07,Pharmaceuticals,No,Yes,Yes,Yes,No,Snow,Yes
CK,LGW,SIN,B777,03/12/2024 13:17,03/12/2024 13:17,04/12/2024 01:17,04/12/2024 03:17,10691,14,7728,,Perishables,No,No,No,No,Yes,Clear,Yes
BA,BRS,ATL,A380,18/12/2024 11:47,18/12/2024 11:47,18/12/2024 21:47,18/12/2024 23:47,9078,11,8259,64.43,Perishables,No,Yes,Yes,No,Yes,Rain,Yes
GF,BRS,BJS,B737,27/12/2024 16:54,27/12/2024 16:54,28/12/2024 04:54,28/12/2024 06:54,8191,30,15962,64.89,General Cargo,No,Yes,No,No,Yes,Clear,Yes
BA,LGW,GRU,A380,31/12/2024 22:26,31/12/2024 22:26,01/01/2025 06:26,01/01/2025 08:26,6120,37,11715,93.54,Perishables,Yes,No,Yes,Yes,No,Snow,Yes
CX,LHR,CAI,B737,16/12/2024 03:07,16/12/2024 03:07,16/12/2024 11:07,16/12/2024 13:07,5462,32,11952,63.99,Pharmaceuticals,Yes,Yes,Yes,No,Yes,Fog,Yes
GF,LGW,DXB,A320,11/12/2024 16:09,11/12/2024 16:09,12/12/2024 03:09,12/12/2024 05:09,5741,32,15970,63.74,Pharmaceuticals,No,No,Yes,No,Yes,Fog,Yes
GF,BRS,SIN,A320,05/12/2024 14:22,05/12/2024 14:22,05/12/2024 23:22,06/12/2024 01:22,7167,13,7532,91.48,Pharmaceuticals,No,Yes,Yes,No,No,Snow,Yes
LA,BRS,VCP,A320,16/12/2024 11:08,16/12/2024 11:08,16/12/2024 20:08,16/12/2024 22:08,8272,30,8386,73.56,Perishables,No,No,Yes,No,No,Fog,Yes
CK,BHX,BJS,B737,05/12/2024 13:52,05/12/2024 13:52,06/12/2024 03:52,06/12/2024 05:52,5043,23,15382,82.12,General Cargo,Yes,Yes,Yes,Yes,No,Snow,Yes
EK,LHR,DEL,B737,27/12/2024 21:55,27/12/2024 21:55,28/12/2024 10:55,28/12/2024 12:55,10547,46,18351,69.99,General Cargo,Yes,Yes,Yes,Yes,No,Clear,Yes
CK,MAN,BOM,A380,12/12/2024 08:50,12/12/2024 08:50,12/12/2024 19:50,12/12/2024 21:50,10708,12,15970,81.12,Pharmaceuticals,Yes,No,No,No,Yes,Snow,Yes
VS,BRS,DFW,A380,07/12/2024 14:55,07/12/2024 14:55,08/12/2024 04:55,08/12/2024 06:55,8379,42,17206,60.12,General Cargo,No,Yes,No,No,Yes,Rain,Yes
GF,MAN,SIN,A380,23/12/2024 02:45,23/12/2024 02:45,23/12/2024 16:45,23/12/2024 18:45,7224,,3920,92.42,Pharmaceuticals,No,No,No,No,Yes,Clear,Yes
AC,NCL,YUL,A320,25/12/2024 03:02,25/12/2024 03:02,25/12/2024 17:02,25/12/2024 19:02,5929,23,3262,63.26,General Cargo,Yes,No,No,Yes,Yes,Rain,Yes
CV,BHX,DEL,B737,25/12/2024 14:51,25/12/2024 16:04,26/12/2024 03:51,26/12/2024 05:04,7293,18,7242,92.22,Electronics,Yes,No,No,Yes,No,Rain,Yes
UA,LHR,ORD,A320,26/12/2024 08:38,26/12/2024 08:38,26/12/2024 18:38,26/12/2024 20:38,8187,24,10417,66.79,Pharmaceuticals,No,Yes,No,No,No,Fog,Yes
TP,NCL,GRU,B737,16/12/2024 07:08,16/12/2024 07:08,16/12/2024 19:08,16/12/2024 21:08,7626,8,11792,82.36,Perishables,Yes,Yes,Yes,No,No,Fog,Yes
EY,LHR,SIN,B737,31/12/2024 09:17,31/12/2024 09:17,31/12/2024 22:17,01/01/2025 00:17,5275,22,13938,60.12,General Cargo,No,Yes,No,No,No,Rain,Yes
CX,NCL,DEL,A380,10/12/2024 20:00,10/12/2024 20:00,11/12/2024 10:00,11/12/2024 12:00,8568,13,16198,69.11,Perishables,Yes,No,No,Yes,No,Rain,Yes
VS,LGW,ATL,A380,11/12/2024 19:08,11/12/2024 19:08,12/12/2024 07:08,12/12/2024 09:08,9683,5,2294,,Pharmaceuticals,No,No,No,No,No,Clear,Yes
BA,LGW,NRT,A380,08/12/2024 02:53,08/12/2024 04:15,08/12/2024 13:53,08/12/2024 15:15,9459,43,2658,88.73,Electronics,Yes,No,No,No,No,Fog,Yes
GF,BRS,MEL,B777,09/12/2024 20:17,09/12/2024 20:17,10/12/2024 09:17,10/12/2024 11:17,9266,35,1027,77.73,Electronics,No,Yes,Yes,No,Yes,Clear,Yes
CK,LHR,ICN,B777,18/12/2024 03:30,18/12/2024 03:30,18/12/2024 12:30,18/12/2024 14:30,5361,7,1605,68.87,Perishables,No,No,No,No,Yes,Rain,Yes
BA,NCL,BJS,A380,14/12/2024 02:49,14/12/2024 02:49,14/12/2024 15:49,14/12/2024 17:49,9997,27,11971,68.85,General Cargo,No,Yes,Yes,Yes,No,Fog,Yes
EK,NCL,MEL,B777,02/12/2024 08:44,02/12/2024 09:07,02/12/2024 20:44,02/12/2024 21:07,8010,49,11819,75,General Cargo,Yes,Yes,No,Yes,Yes,Clear,Yes
SQ,BHX,SYD,A380,06/12/2024 02:50,06/12/2024 02:50,06/12/2024 14:50,06/12/2024 16:50,5368,5,13813,78.4,Perishables,Yes,No,No,No,Yes,Snow,Yes
GF,MAN,SYD,B777,09/12/2024 13:35,09/12/2024 13:35,10/12/2024 03:35,10/12/2024 05:35,8682,,3985,84.23,Perishables,No,Yes,Yes,Yes,Yes,Rain,Yes
DL,BHX,SCL,B737,15/12/2024 17:23,15/12/2024 17:23,16/12/2024 07:23,16/12/2024 09:23,9116,30,4143,81.47,Pharmaceuticals,No,No,Yes,Yes,Yes,Rain,Yes
VS,NCL,ORD,A380,11/12/2024 12:07,11/12/2024 12:07,11/12/2024 20:07,11/12/2024 22:07,6157,11,7653,84.38,General Cargo,No,No,No,No,No,Rain,Yes
EK,MAN,BOM,B777,15/12/2024 02:03,15/12/2024 02:03,15/12/2024 10:03,15/12/2024 12:03,6758,42,7537,63.58,Perishables,No,Yes,No,No,No,Rain,Yes
TK,LHR,SIN,A320,16/12/2024 21:55,16/12/2024 21:55,17/12/2024 07:55,17/12/2024 09:55,5825,49,9089,91.78,Pharmaceuticals,No,No,No,No,Yes,Rain,Yes
CK,NCL,DEL,A320,19/12/2024 23:56,19/12/2024 23:56,20/12/2024 12:56,20/12/2024 14:56,10282,23,10910,70.41,General Cargo,Yes,Yes,No,No,No,Rain,Yes
UA,MAN,LAX,B777,26/12/2024 12:04,26/12/2024 12:04,27/12/2024 01:04,27/12/2024 03:04,6200,7,16579,93.42,Perishables,Yes,No,No,Yes,Yes,Clear,Yes
AC,BRS,YUL,A320,06/12/2024 00:24,06/12/2024 00:24,06/12/2024 14:24,06/12/2024 16:24,11369,21,8874,66.51,Perishables,No,No,Yes,Yes,No,Rain,Yes
AA,BRS,ATL,A380,07/12/2024 18:51,07/12/2024 18:51,08/12/2024 04:51,08/12/2024 06:51,11710,18,6459,83.63,Electronics,No,No,Yes,Yes,No,Snow,Yes
CK,LGW,SYD,B737,27/12/2024 19:40,27/12/2024 19:40,28/12/2024 04:40,28/12/2024 06:40,5782,21,12023,74.94,General Cargo,No,No,No,No,No,Rain,Yes
BA,ABZ,LAX,B777,19/12/2024 00:03,19/12/2024 00:03,19/12/2024 09:03,19/12/2024 11:03,5395,22,14907,61.63,Pharmaceuticals,No,No,No,No,No,Clear,Yes
GF,BRS,CPT,B737,08/12/2024 23:48,08/12/2024 23:48,09/12/2024 10:48,09/12/2024 12:48,6841,16,7844,,Pharmaceuticals,Yes,Yes,No,Yes,No,Snow,Yes
AC,MAN,YYZ,A380,22/12/2024 15:15,22/12/2024 15:15,23/12/2024 01:15,23/12/2024 03:15,11534,12,18622,71.85,Perishables,No,Yes,No,No,No,Snow,Yes
GF,NCL,BJS,A380,06/12/2024 17:55,06/12/2024 18:03,07/12/2024 06:55,07/12/2024 07:03,8986,12,,85.09,Perishables,Yes,Yes,No,Yes,Yes,Fog,Yes
QT,BHX,GRU,B737,12/12/2024 13:29,12/12/2024 13:29,12/12/2024 22:29,13/12/2024 00:29,8528,28,14698,71.1,Pharmaceuticals,No,No,No,No,No,Clear,Yes
AC,NCL,YUL,A320,13/12/2024 19:04,13/12/2024 19:04,14/12/2024 07:04,14/12/2024 09:04,6037,12,14615,60.77,Perishables,No,No,Yes,Yes,No,Rain,Yes
BA,LGW,JNB,B777,03/12/2024 22:25,04/12/2024 00:09,04/12/2024 10:25,04/12/2024 12:09,6991,20,13820,79.95,Electronics,Yes,Yes,No,No,No,Clear,Yes
VS,ABZ,DEN,B777,30/12/2024 01:28,30/12/2024 01:28,30/12/2024 12:28,30/12/2024 14:28,11356,25,18007,64.04,Electronics,Yes,Yes,No,No,No,Fog,Yes
GF,MAN,DXB,A380,25/12/2024 12:17,25/12/2024 12:17,25/12/2024 20:17,25/12/2024 22:17,5553,45,14258,80,Electronics,Yes,Yes,No,No,No,Fog,Yes
AC,LGW,YUL,A380,09/12/2024 02:49,09/12/2024 02:49,09/12/2024 16:49,09/12/2024 18:49,9396,11,16436,89.97,Electronics,No,No,Yes,No,No,Clear,Yes
EK,BHX,DXB,A320,06/12/2024 07:40,06/12/2024 07:40,06/12/2024 18:40,06/12/2024 20:40,6977,44,11434,79.42,Pharmaceuticals,No,Yes,No,Yes,No,Snow,Yes
CV,LHR,JNB,A320,27/12/2024 20:51,27/12/2024 21:05,28/12/2024 04:51,28/12/2024 05:05,5765,24,9964,94.91,General Cargo,No,Yes,Yes,No,No,Fog,Yes
CV,ABZ,NRT,A320,28/12/2024 17:01,28/12/2024 18:17,29/12/2024 05:01,29/12/2024 06:17,8439,42,8143,81.99,Perishables,No,Yes,Yes,No,No,Rain,Yes
BA,BHX,LAX,A320,08/12/2024 14:40,08/12/2024 14:40,08/12/2024 23:40,09/12/2024 01:40,6372,31,10636,71.75,Pharmaceuticals,No,No,No,No,No,Rain,Yes
AC,MAN,YUL,B777,17/12/2024 12:51,17/12/2024 12:51,17/12/2024 21:51,17/12/2024 23:51,10594,6,5806,68.09,Electronics,No,Yes,No,Yes,No,Fog,Yes
VS,LHR,LAX,A320,18/12/2024 07:38,18/12/2024 07:38,18/12/2024 18:38,18/12/2024 20:38,6358,,17771,84.04,Electronics,Yes,Yes,No,No,Yes,Rain,Yes
QR,LHR,BJS,A380,06/12/2024 11:50,06/12/2024 11:50,06/12/2024 23:50,07/12/2024 01:50,6305,40,5192,64.93,Pharmaceuticals,Yes,Yes,Yes,No,Yes,Clear,Yes
QR,ABZ,CPT,A320,26/12/2024 08:50,26/12/2024 08:50,26/12/2024 20:50,26/12/2024 22:50,6739,9,4898,84.15,Perishables,Yes,No,No,Yes,No,Clear,Yes
BA,LGW,DFW,B737,15/12/2024 13:56,15/12/2024 13:56,15/12/2024 21:56,15/12/2024 23:56,8022,17,19055,78.22,Pharmaceuticals,No,Yes,No,Yes,Yes,Fog,Yes
EY,ABZ,BKK,B737,30/12/2024 08:44,30/12/2024 08:44,30/12/2024 17:44,30/12/2024 19:44,8716,31,14509,60.28,General Cargo,Yes,No,No,Yes,Yes,Rain,Yes
QR,LGW,XMN,B737,21/12/2024 11:31,21/12/2024 12:09,21/12/2024 21:31,21/12/2024 22:09,5159,17,5113,89.15,Perishables,Yes,No,Yes,No,No,Snow,Yes
DL,ABZ,ATL,A380,05/12/2024 02:46,05/12/2024 02:46,05/12/2024 16:46,05/12/2024 18:46,10527,21,16249,78.55,General Cargo,Yes,No,No,Yes,No,Snow,Yes
TK,LGW,XMN,A320,31/12/2024 06:09,31/12/2024 06:09,31/12/2024 18:09,31/12/2024 20:09,10236,29,4747,80.03,Pharmaceuticals,No,No,Yes,No,No,Fog,Yes
VS,NCL,DEN,B737,06/12/2024 13:02,06/12/2024 13:02,07/12/2024 00:02,07/12/2024 02:02,6278,23,8925,77.41,Electronics,Yes,No,Yes,No,Yes,Rain,Yes
BA,MAN,LAX,A380,09/12/2024 03:24,09/12/2024 03:24,09/12/2024 16:24,09/12/2024 18:24,10713,44,2556,92.46,Perishables,No,Yes,No,No,Yes,Clear,Yes
CK,NCL,BKK,B777,02/12/2024 13:28,02/12/2024 13:28,03/12/2024 02:28,03/12/2024 04:28,9378,43,12985,89.91,Perishables,Yes,Yes,Yes,No,Yes,Fog,Yes
CK,MAN,BOM,B737,08/12/2024 18:40,08/12/2024 18:40,09/12/2024 05:40,09/12/2024 07:40,5079,14,13901,92.99,Electronics,No,No,Yes,Yes,No,Fog,Yes
SQ,BRS,NRT,A380,28/12/2024 18:11,28/12/2024 18:11,29/12/2024 02:11,29/12/2024 04:11,5739,29,13798,70.6,Perishables,Yes,Yes,No,Yes,Yes,Rain,Yes
TP,NCL,GRU,B737,07/12/2024 17:57,07/12/2024 17:57,08/12/2024 02:57,08/12/2024 04:57,9815,6,10586,91.12,Pharmaceuticals,Yes,No,No,Yes,No,Clear,Yes
DL,NCL,DEN,A380,14/12/2024 02:01,14/12/2024 02:01,14/12/2024 10:01,14/12/2024 12:01,5081,37,6781,88.1,Perishables,Yes,No,Yes,No,No,Clear,Yes
CV,NCL,MCT,B777,24/12/2024 09:19,24/12/2024 09:19,24/12/2024 22:19,25/12/2024 00:19,7901,,7507,74.16,Perishables,Yes,No,Yes,No,Yes,Snow,Yes
QR,LHR,SIN,B777,26/12/2024 15:50,26/12/2024 15:50,27/12/2024 01:50,27/12/2024 03:50,9682,20,16702,,General Cargo,Yes,No,Yes,No,Yes,Rain,Yes
AC,ABZ,YUL,B777,29/12/2024 14:45,29/12/2024 14:45,29/12/2024 23:45,30/12/2024 01:45,10073,6,16680,74.18,Electronics,Yes,Yes,Yes,No,Yes,Fog,Yes
CX,BRS,DEL,A380,30/12/2024 11:29,30/12/2024 12:33,30/12/2024 19:29,30/12/2024 20:33,5915,10,5938,81.21,Electronics,No,Yes,Yes,No,Yes,Clear,Yes
AC,BHX,YUL,B777,08/12/2024 05:16,08/12/2024 05:48,08/12/2024 19:16,08/12/2024 19:48,10356,35,9641,70.82,Perishables,Yes,No,No,No,Yes,Fog,Yes
QR,NCL,CPT,A320,12/12/2024 11:32,12/12/2024 12:20,12/12/2024 23:32,13/12/2024 00:20,9411,43,11362,89.87,General Cargo,No,No,No,No,Yes,Fog,Yes
QR,ABZ,BKK,B777,24/12/2024 07:47,24/12/2024 07:47,24/12/2024 20:47,24/12/2024 22:47,9360,7,17053,65.03,General Cargo,No,Yes,Yes,No,No,Snow,Yes
BA,LGW,DEN,A380,26/12/2024 04:10,26/12/2024 04:10,26/12/2024 18:10,26/12/2024 20:10,7117,19,10962,73.35,General Cargo,Yes,Yes,No,No,No,Snow,Yes
BA,LHR,DEN,B737,17/12/2024 13:23,17/12/2024 13:23,18/12/2024 01:23,18/12/2024 03:23,9553,49,,80.67,General Cargo,Yes,No,No,Yes,No,Clear,Yes
TK,BRS,NRT,A380,11/12/2024 06:48,11/12/2024 07:55,11/12/2024 19:48,11/12/2024 20:55,8305,46,8354,78.85,Pharmaceuticals,Yes,No,Yes,Yes,Yes,Clear,Yes
QR,BHX,BKK,B737,07/12/2024 06:08,07/12/2024 06:24,07/12/2024 15:08,07/12/2024 15:24,6195,26,6305,81.78,Pharmaceuticals,Yes,No,Yes,Yes,No,Rain,Yes
BA,BRS,GRU,B777,02/12/2024 18:38,02/12/2024 18:38,03/12/2024 06:38,03/12/2024 08:38,8633,27,16735,60.02,General Cargo,No,Yes,Yes,No,No,Fog,Yes
EY,LGW,BOM,B777,17/12/2024 14:45,17/12/2024 14:45,17/12/2024 23:45,18/12/2024 01:45,10818,35,1381,70.21,Perishables,Yes,No,Yes,Yes,Yes,Snow,Yes
QT,LGW,GRU,B777,01/12/2024 10:42,01/12/2024 10:42,02/12/2024 00:42,02/12/2024 02:42,11785,19,13872,77.3,Pharmaceuticals,No,Yes,No,Yes,No,Fog,Yes
BA,BHX,SIN,A320,01/12/2024 05:07,01/12/2024 05:07,01/12/2024 16:07,01/12/2024 18:07,9241,31,2375,76.26,General Cargo,Yes,Yes,Yes,No,Yes,Rain,Yes
DL,MAN,ORD,A320,14/12/2024 04:15,14/12/2024 04:15,14/12/2024 17:15,14/12/2024 19:15,8021,28,10432,71.13,Perishables,Yes,Yes,No,Yes,Yes,Rain,Yes
CK,BHX,SYD,B737,04/12/2024 10:46,04/12/2024 10:46,04/12/2024 19:46,04/12/2024 19:46,7474,38,8958,62.83,Electronics,No,Yes,Yes,Yes,Yes,Snow,No
UA,NCL,SCL,B737,20/12/2024 11:12,20/12/2024 11:12,20/12/2024 21:12,20/12/2024 21:12,9049,38,2903,83.67,Pharmaceuticals,No,Yes,Yes,Yes,No,Rain,No
SQ,MAN,JNB,A320,19/12/2024 15:57,19/12/2024 15:57,20/12/2024 03:57,20/12/2024 03:57,6696,27,4892,61.95,Electronics,Yes,Yes,Yes,No,No,Rain,No
AC,LHR,YYZ,B777,07/12/2024 12:12,07/12/2024 12:12,07/12/2024 21:12,07/12/2024 21:12,5745,7,6482,92.82,Electronics,Yes,Yes,No,No,No,Fog,No
SQ,BRS,CAI,A380,03/12/2024 05:41,03/12/2024 05:41,03/12/2024 14:41,03/12/2024 14:41,9657,43,14856,88.68,Electronics,No,Yes,Yes,Yes,Yes,Clear,No
EY,NCL,CPT,B737,31/12/2024 11:24,31/12/2024 11:24,31/12/2024 20:24,31/12/2024 20:24,7422,19,15604,93.77,General Cargo,No,No,No,No,No,Rain,No
CX,MAN,DXB,A320,25/12/2024 15:53,25/12/2024 16:04,26/12/2024 04:53,26/12/2024 05:04,6416,35,13252,69.5,Perishables,No,Yes,No,No,No,Snow,Yes
DL,BHX,DEN,B737,16/12/2024 18:29,16/12/2024 18:29,17/12/2024 08:29,17/12/2024 08:29,8957,32,18923,77.09,Electronics,No,No,No,Yes,No,Rain,No
AA,ABZ,ORD,B777,29/12/2024 15:27,29/12/2024 15:27,30/12/2024 05:27,30/12/2024 05:27,5449,39,13643,73.95,Electronics,No,Yes,Yes,No,Yes,Clear,No
CX,LGW,XMN,A320,10/12/2024 22:47,10/12/2024 23:18,11/12/2024 08:47,11/12/2024 09:18,5599,7,16586,94.31,Pharmaceuticals,No,Yes,No,Yes,Yes,Fog,Yes
AC,LGW,YYZ,B777,21/12/2024 15:47,21/12/2024 15:47,22/12/2024 05:47,22/12/2024 05:47,9934,41,15038,67.03,Electronics,Yes,Yes,Yes,Yes,Yes,Clear,No
UA,NCL,ATL,A320,08/12/2024 02:33,08/12/2024 02:33,08/12/2024 12:33,08/12/2024 12:33,11930,47,19116,70.4,General Cargo,No,No,No,No,Yes,Fog,No
CV,MAN,BKK,A320,05/12/2024 11:58,05/12/2024 11:58,06/12/2024 01:58,06/12/2024 01:58,5204,5,13021,90.88,Perishables,No,Yes,Yes,Yes,No,Clear,No
CV,LHR,GRU,A380,08/12/2024 21:34,08/12/2024 21:34,09/12/2024 08:34,09/12/2024 08:34,5517,32,2438,63.62,Electronics,Yes,No,No,No,No,Snow,No
BA,LHR,CAI,B737,20/12/2024 13:13,20/12/2024 13:13,20/12/2024 21:13,20/12/2024 21:13,11490,29,12683,79.35,Electronics,No,Yes,Yes,Yes,Yes,Snow,No
CV,NCL,NRT,A380,09/12/2024 11:28,09/12/2024 11:28,09/12/2024 23:28,09/12/2024 23:28,7263,33,19811,75.78,Perishables,No,Yes,No,Yes,No,Fog,No
CK,MAN,BKK,A380,01/12/2024 21:44,01/12/2024 21:44,02/12/2024 08:44,02/12/2024 08:44,11704,39,12240,86.13,General Cargo,Yes,Yes,Yes,No,Yes,Clear,No
EK,NCL,IST,B737,17/12/2024 14:49,17/12/2024 14:49,18/12/2024 03:49,18/12/2024 03:49,10087,35,9484,62.17,Perishables,Yes,No,No,No,No,Fog,No
UA,BHX,DEN,A380,02/12/2024 05:40,02/12/2024 05:40,02/12/2024 15:40,02/12/2024 15:40,11378,29,4171,75.03,Pharmaceuticals,No,No,Yes,Yes,Yes,Fog,No
EY,MAN,DXB,A320,13/12/2024 04:17,13/12/2024 04:17,13/12/2024 18:17,13/12/2024 18:17,10063,11,17240,89.77,Perishables,Yes,No,Yes,Yes,No,Clear,No
BA,NCL,IST,B777,01/12/2024 08:18,01/12/2024 08:18,01/12/2024 20:18,01/12/2024 20:18,8672,46,15967,69.57,Electronics,No,Yes,No,Yes,No,Snow,No
QR,MAN,SIN,B777,01/12/2024 09:03,01/12/2024 09:03,01/12/2024 22:03,01/12/2024 22:03,8162,9,1580,60.94,Perishables,Yes,No,Yes,No,No,Fog,No
UA,LHR,ORD,A320,19/12/2024 09:21,19/12/2024 09:21,19/12/2024 21:21,19/12/2024 21:21,8434,18,12774,63.49,Perishables,No,No,No,Yes,No,Snow,No
CK,BRS,DXB,A380,19/12/2024 06:46,19/12/2024 06:46,19/12/2024 18:46,19/12/2024 18:46,10378,32,7066,69.37,Electronics,No,Yes,Yes,Yes,No,Snow,Yes
AC,LHR,YYZ,B737,25/12/2024 09:07,25/12/2024 09:07,25/12/2024 22:07,25/12/2024 22:07,11905,7,17346,80.95,General Cargo,Yes,No,No,Yes,No,Fog,No
LH,NCL,VCP,A320,12/12/2024 02:17,12/12/2024 02:17,12/12/2024 16:17,12/12/2024 16:17,11121,5,9956,87.04,Pharmaceuticals,Yes,No,Yes,Yes,Yes,Rain,No
QT,LGW,GRU,B737,02/12/2024 13:37,02/12/2024 13:37,03/12/2024 01:37,03/12/2024 01:37,6746,42,17283,77.29,Pharmaceuticals,No,Yes,Yes,No,Yes,Rain,No
SQ,NCL,SHA,A320,10/12/2024 02:04,10/12/2024 02:04,10/12/2024 11:04,10/12/2024 11:04,9925,5,5453,80.79,Electronics,No,Yes,Yes,No,No,Rain,No
AC,LHR,YYZ,A320,10/12/2024 21:58,10/12/2024 21:58,11/12/2024 07:58,11/12/2024 07:58,11030,8,8717,66.71,Perishables,Yes,No,Yes,No,Yes,Snow,No
SQ,BRS,BOM,B777,13/12/2024 00:32,13/12/2024 00:53,13/12/2024 12:32,13/12/2024 12:53,9845,19,15461,82.99,General Cargo,Yes,No,No,Yes,No,Rain,Yes
CK,LGW,JNB,A320,19/12/2024 19:06,19/12/2024 19:06,20/12/2024 05:06,20/12/2024 05:06,11641,28,15026,71.36,General Cargo,Yes,Yes,Yes,No,No,Snow,No
SQ,LGW,IST,A380,02/12/2024 14:20,02/12/2024 15:40,03/12/2024 04:20,03/12/2024 05:40,7995,13,14666,73.41,Pharmaceuticals,Yes,No,No,No,No,Clear,Yes
TK,ABZ,ICN,B737,26/12/2024 09:43,26/12/2024 09:43,26/12/2024 21:43,26/12/2024 21:43,11723,49,19429,78.94,General Cargo,No,No,No,No,Yes,Rain,No
UA,ABZ,SCL,B737,19/12/2024 10:11,19/12/2024 10:11,19/12/2024 18:11,19/12/2024 18:11,10896,32,16244,85.73,General Cargo,Yes,No,No,No,No,Fog,No
BA,BRS,ORD,B737,03/12/2024 09:42,03/12/2024 10:02,03/12/2024 20:42,03/12/2024 21:02,9906,32,16508,66.54,Pharmaceuticals,Yes,No,No,Yes,No,Fog,Yes
TK,ABZ,MEL,A320,11/12/2024 05:01,11/12/2024 05:31,11/12/2024 15:01,11/12/2024 15:31,8620,40,12683,85.52,Pharmaceuticals,No,Yes,Yes,Yes,Yes,Clear,Yes
SQ,BHX,MEL,B737,17/12/2024 21:16,17/12/2024 21:16,18/12/2024 05:16,18/12/2024 05:16,11471,38,9149,71.03,General Cargo,No,No,No,No,No,Snow,No
EY,ABZ,SHA,B737,06/12/2024 04:26,06/12/2024 04:26,06/12/2024 17:26,06/12/2024 17:26,10629,20,16786,70.11,Pharmaceuticals,Yes,No,No,Yes,No,Fog,No
QR,BHX,MCT,A380,24/12/2024 08:22,24/12/2024 08:22,24/12/2024 22:22,24/12/2024 22:22,6096,23,14582,81.24,Pharmaceuticals,No,No,Yes,Yes,Yes,Fog,No
CV,BHX,SIN,B737,19/12/2024 16:17,19/12/2024 16:17,20/12/2024 02:17,20/12/2024 02:17,6066,14,1687,64.62,General Cargo,No,Yes,Yes,No,No,Fog,No
EK,BHX,DEL,A320,12/12/2024 14:15,12/12/2024 14:15,13/12/2024 03:15,13/12/2024 03:15,8892,,18592,94.84,General Cargo,No,No,Yes,No,No,Clear,No
CX,MAN,SYD,A380,24/12/2024 06:35,24/12/2024 06:35,24/12/2024 14:35,24/12/2024 14:35,11751,43,19096,77.36,General Cargo,Yes,No,Yes,No,Yes,Fog,No
